"Aircraft.Damage","Aircraft.Category","Amateur.Built","Purpose.of.Flight","Weather.Condition","Broad.Phase.of.Flight","Fatal","Engine.Count","Total.Injuries","Total.Passengers"
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",0,3
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,3
"Substantial","Airplane","No","Instructional","VMC","TAKEOFF",0,"2+",1,2
"Destroyed","Airplane","No","Personal","IMC","CRUISE",1,"1",2,2
"Substantial","Airplane","No","Aerial Application","VMC","MANEUVERING",0,"1",1,1
"Substantial","Helicopter","No","Business","VMC","MANEUVERING",0,"1",0,2
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","DESCENT",0,"1",1,1
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",0,"1",1,1
"Substantial","Helicopter","No","Personal","VMC","TAKEOFF",1,"1",2,2
"Destroyed","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",2,2
"Substantial","Airplane","No","Business","VMC","LANDING",0,"1",0,3
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"2+",0,4
"Substantial","Airplane","Yes","Personal","VMC","CRUISE",0,"1",1,1
"Substantial","Airplane","No","Instructional","VMC","MANEUVERING",1,"1",2,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",1,1
"Substantial","Airplane","No","Instructional","VMC","TAKEOFF",0,"1",1,2
"Destroyed","Airplane","No","Public Aircraft","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",1,"1",2,2
"Destroyed","Airplane","Yes","Personal","IMC","GO-AROUND",1,"1",2,2
"Substantial","Helicopter","No","Public Aircraft","VMC","MANEUVERING",0,"1",0,3
"Substantial","Airplane","No","Positioning","IMC","APPROACH",0,"2+",0,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Minor","Airplane","No","Aerial Application","VMC","APPROACH",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","TAKEOFF",1,"1",2,2
"Substantial","Airplane","No","Aerial Observation","VMC","MANEUVERING",1,"1",4,4
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,3
"Substantial","Airplane","No","Personal","VMC","CLIMB",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","DESCENT",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",1,2
"Substantial","Airplane","No","Executive/Corporate","IMC","LANDING",0,"2+",5,20
"Destroyed","Airplane","No","Personal","IMC","GO-AROUND",1,"1",1,1
"Destroyed","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",1,1
"Substantial","Airplane","No","Positioning","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"2+",2,2
"Substantial","Airplane","No","Personal","VMC","STANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","DESCENT",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","APPROACH",1,"1",3,3
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",0,"1",1,1
"Substantial","Helicopter","No","Other Work Use","VMC","MANEUVERING",1,"1",3,3
"Substantial","Airplane","Yes","Personal","VMC","CRUISE",0,"1",1,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",2,2
"Minor","Airplane","No","Personal","VMC","CLIMB",0,"1",0,4
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",2,2
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",1,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","CRUISE",1,"1",3,3
"Substantial","Airplane","No","Personal","IMC","APPROACH",1,"1",1,1
"Substantial","Airplane","No","Personal","IMC","APPROACH",1,"1",2,2
"Destroyed","Airplane","Yes","Personal","VMC","TAKEOFF",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",1,"1",2,2
"Destroyed","Airplane","No","Personal","VMC","CLIMB",1,"1",3,3
"Substantial","Airplane","No","Positioning","IMC","APPROACH",1,"2+",1,1
"Substantial","Helicopter","No","Personal","VMC","MANEUVERING",0,"1",0,1
"Substantial","Airplane","No","Positioning","VMC","LANDING",0,"2+",0,1
"Substantial","Airplane","No","Business","VMC","LANDING",0,"2+",0,8
"Destroyed","Airplane","No","Personal","VMC","DESCENT",1,"2+",3,3
"Destroyed","Airplane","No","Personal","VMC","CLIMB",1,"1",2,2
"Substantial","Helicopter","No","Instructional","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",0,2
"Destroyed","Airplane","No","Business","IMC","APPROACH",1,"2+",3,3
"Substantial","Airplane","Yes","Personal","VMC","CRUISE",0,"1",1,1
"Destroyed","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",2,2
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",1,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","APPROACH",1,"1",1,1
"Destroyed","Airplane","No","Business","VMC","CRUISE",1,"1",2,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",1,2
"Substantial","Airplane","No","Instructional","VMC","CRUISE",1,"2+",2,2
"Substantial","Airplane","No","Personal","VMC","DESCENT",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Destroyed","Airplane","No","Personal","VMC","TAKEOFF",1,"1",2,2
"Substantial","Airplane","No","Personal","VMC","CRUISE",1,"1",1,1
"Substantial","Airplane","No","Personal","IMC","CRUISE",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",2,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",1,1
"Destroyed","Airplane","No","Personal","IMC","CRUISE",1,"1",1,1
"Substantial","Airplane","Yes","Personal","VMC","APPROACH",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Helicopter","No","Business","VMC","CLIMB",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","DESCENT",1,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","CRUISE",1,"1",3,3
"Substantial","Helicopter","No","Business","VMC","DESCENT",0,"1",0,4
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",2,2
"Destroyed","Airplane","No","Personal","VMC","APPROACH",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","GO-AROUND",0,"1",0,2
"Destroyed","Airplane","No","Personal","VMC","CLIMB",1,"1",5,5
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",4,4
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",1,"1",2,2
"Minor","Airplane","No","Business","VMC","DESCENT",0,"1",0,1
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",0,"1",1,1
"Substantial","Airplane","Yes","Personal","VMC","CRUISE",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",1,1
"Minor","Airplane","No","Positioning","VMC","CRUISE",0,"2+",0,1
"Substantial","Airplane","No","Personal","VMC","LANDING",1,"1",4,4
"Substantial","Airplane","No","Executive/Corporate","VMC","TAKEOFF",0,"2+",0,15
"Substantial","Airplane","No","Business","VMC","DESCENT",0,"1",4,4
"Substantial","Helicopter","No","Personal","VMC","LANDING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",1,1
"Destroyed","Helicopter","No","Public Aircraft","VMC","MANEUVERING",1,"1",2,2
"Destroyed","Helicopter","No","Personal","VMC","CRUISE",1,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","APPROACH",1,"2+",2,2
"Substantial","Airplane","No","Personal","VMC","CRUISE",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","CRUISE",1,"1",3,3
"Substantial","Airplane","No","Personal","IMC","TAKEOFF",1,"1",2,2
"Destroyed","Airplane","No","Personal","VMC","CRUISE",1,"1",3,3
"Substantial","Airplane","No","Personal","IMC","DESCENT",1,"2+",2,2
"Destroyed","Airplane","No","Personal","IMC","CRUISE",1,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","CRUISE",1,"1",2,2
"Substantial","Helicopter","No","Public Aircraft","VMC","CRUISE",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Helicopter","No","Positioning","VMC","APPROACH",0,"1",3,3
"Destroyed","Helicopter","No","Ferry","VMC","CRUISE",1,"2+",1,1
"Substantial","Helicopter","No","Positioning","VMC","TAKEOFF",0,"2+",0,1
"Substantial","Helicopter","No","Instructional","VMC","APPROACH",0,"1",0,3
"Substantial","Helicopter","No","Positioning","VMC","MANEUVERING",0,"2+",1,1
"Destroyed","Helicopter","No","Positioning","VMC","CRUISE",1,"2+",3,3
"Substantial","Helicopter","No","Positioning","VMC","CRUISE",0,"2+",0,2
"Substantial","Helicopter","No","Positioning","VMC","MANEUVERING",0,"2+",0,3
"Substantial","Helicopter","No","Business","VMC","TAKEOFF",0,"1",0,1
"Destroyed","Helicopter","No","Positioning","VMC","APPROACH",1,"2+",3,3
"Destroyed","Helicopter","No","Positioning","IMC","TAKEOFF",1,"2+",4,4
"Substantial","Helicopter","No","Positioning","VMC","LANDING",0,"2+",0,3
"Destroyed","Helicopter","No","Positioning","IMC","MANEUVERING",1,"2+",3,3
"Substantial","Helicopter","No","Instructional","VMC","TAKEOFF",0,"2+",0,2
"Destroyed","Helicopter","No","Positioning","VMC","CRUISE",1,"1",3,3
"Destroyed","Helicopter","No","Positioning","IMC","MANEUVERING",1,"2+",2,2
"Substantial","Helicopter","No","Positioning","VMC","MANEUVERING",0,"2+",1,1
"Substantial","Helicopter","No","Positioning","VMC","CRUISE",0,"1",0,3
"Substantial","Helicopter","No","Positioning","VMC","LANDING",0,"2+",0,2
"Destroyed","Helicopter","No","Positioning","VMC","CRUISE",1,"2+",3,3
"Destroyed","Helicopter","No","Positioning","VMC","MANEUVERING",1,"2+",3,3
"Substantial","Helicopter","No","Positioning","VMC","LANDING",0,"1",3,3
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",0,"1",1,2
"Destroyed","Airplane","No","Business","VMC","DESCENT",1,"1",2,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,3
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",1,4
"Destroyed","Airplane","No","Personal","VMC","APPROACH",0,"1",2,3
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"2+",0,2
"Destroyed","Airplane","No","Personal","VMC","LANDING",1,"1",4,4
"Destroyed","Airplane","No","Personal","VMC","CRUISE",0,"1",0,5
"Substantial","Airplane","No","Instructional","VMC","TAKEOFF",0,"1",0,1
"Destroyed","Airplane","No","Personal","IMC","APPROACH",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","TAXI",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","MANEUVERING",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","CLIMB",0,"1",0,4
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,3
"Substantial","Airplane","No","Personal","IMC","CRUISE",0,"2+",0,4
"Destroyed","Airplane","No","Personal","IMC","CRUISE",0,"1",4,4
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",0,2
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",1,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,4
"Destroyed","Airplane","No","Business","VMC","CRUISE",1,"1",1,1
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",0,4
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",1,3
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",0,4
"Destroyed","Airplane","No","Personal","IMC","CRUISE",1,"1",3,3
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",4,4
"Minor","Airplane","No","Personal","VMC","APPROACH",0,"1",1,2
"Substantial","Airplane","Yes","Personal","VMC","APPROACH",0,"1",1,2
"Destroyed","Airplane","No","Personal","VMC","TAKEOFF",0,"1",1,1
"Substantial","Airplane","No","Business","VMC","TAXI",0,"2+",0,1
"Substantial","Airplane","No","Personal","IMC","CRUISE",0,"1",1,4
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","DESCENT",0,"1",0,3
"Substantial","Airplane","No","Business","VMC","TAKEOFF",0,"1",0,3
"Destroyed","Airplane","No","Personal","IMC","MANEUVERING",0,"1",3,3
"Destroyed","Airplane","No","Personal","VMC","MANEUVERING",1,"1",2,2
"Destroyed","Airplane","No","Personal","IMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Instructional","VMC","APPROACH",0,"1",0,2
"Destroyed","Helicopter","No","Personal","IMC","CRUISE",1,"1",3,3
"Substantial","Airplane","No","Instructional","VMC","TAKEOFF",0,"1",0,1
"Substantial","Airplane","No","Business","VMC","LANDING",0,"2+",0,6
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","Yes","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Minor","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Destroyed","Airplane","No","Instructional","VMC","LANDING",0,"1",1,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",1,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",2,2
"Substantial","Airplane","No","Executive/Corporate","VMC","LANDING",0,"2+",0,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",0,2
"Destroyed","Airplane","No","Personal","VMC","CRUISE",1,"1",3,3
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"2+",0,4
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,4
"Destroyed","Airplane","No","Business","VMC","TAKEOFF",0,"2+",1,1
"Destroyed","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","CRUISE",1,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","TAKEOFF",0,"1",2,2
"Substantial","Airplane","No","Instructional","VMC","TAKEOFF",0,"1",0,2
"Substantial","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Destroyed","Helicopter","Yes","Personal","VMC","MANEUVERING",1,"1",1,1
"Destroyed","Helicopter","No","Personal","VMC","CRUISE",1,"1",2,2
"Destroyed","Airplane","No","Business","VMC","TAKEOFF",0,"1",1,1
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",0,4
"Destroyed","Helicopter","No","Business","VMC","LANDING",0,"1",2,2
"Destroyed","Airplane","No","Personal","VMC","CRUISE",1,"1",4,4
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,2
"Substantial","Helicopter","No","Ferry","IMC","CRUISE",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",1,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",1,2
"Substantial","Airplane","No","Business","VMC","MANEUVERING",0,"2+",1,5
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"2+",5,5
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",0,2
"Destroyed","Airplane","No","Personal","VMC","MANEUVERING",1,"1",1,1
"Substantial","Airplane","No","Business","VMC","LANDING",0,"2+",0,2
"Destroyed","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,3
"Substantial","Airplane","No","Personal","VMC","TAXI",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"2+",0,3
"Minor","Airplane","No","Personal","VMC","LANDING",0,"2+",0,4
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",0,2
"Destroyed","Airplane","No","Personal","IMC","CRUISE",1,"1",1,1
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",0,"1",0,1
"Substantial","Airplane","No","Personal","IMC","APPROACH",0,"1",1,1
"Substantial","Airplane","Yes","Personal","VMC","TAKEOFF",0,"1",1,1
"Substantial","Airplane","No","Personal","IMC","GO-AROUND",0,"1",3,3
"Destroyed","Airplane","Yes","Personal","VMC","MANEUVERING",1,"1",2,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,3
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Instructional","VMC","LANDING",0,"1",0,1
"Destroyed","Airplane","No","Personal","VMC","TAKEOFF",0,"1",1,1
"Substantial","Airplane","No","Instructional","VMC","TAKEOFF",0,"2+",0,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Destroyed","Airplane","No","Personal","IMC","TAKEOFF",0,"1",2,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Helicopter","No","Instructional","VMC","MANEUVERING",0,"1",0,2
"Substantial","Airplane","No","Instructional","IMC","CRUISE",1,"1",1,1
"Destroyed","Airplane","No","Business","IMC","GO-AROUND",1,"2+",4,4
"Substantial","Airplane","No","Instructional","VMC","TAKEOFF",0,"1",0,1
"Minor","Airplane","No","Executive/Corporate","VMC","CRUISE",0,"2+",0,3
"Substantial","Airplane","No","Personal","IMC","CRUISE",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","Yes","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Aerial Application","VMC","MANEUVERING",0,"1",0,1
"Minor","Airplane","No","Business","IMC","CLIMB",0,"2+",0,1
"Substantial","Airplane","No","Personal","IMC","APPROACH",0,"1",0,2
"Substantial","Airplane","No","Executive/Corporate","IMC","CRUISE",0,"1",1,3
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,1
"Destroyed","Airplane","No","Personal","VMC","TAKEOFF",1,"2+",3,3
"Substantial","Helicopter","No","Aerial Application","VMC","MANEUVERING",0,"1",1,1
"Substantial","Airplane","No","Personal","VMC","CLIMB",0,"1",1,2
"Substantial","Airplane","No","Personal","IMC","LANDING",0,"1",0,3
"Substantial","Airplane","Yes","Personal","VMC","LANDING",0,"1",0,1
"Minor","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Substantial","Airplane","No","Executive/Corporate","VMC","LANDING",0,"2+",0,5
"Destroyed","Airplane","No","Personal","IMC","CRUISE",1,"1",2,2
"Destroyed","Helicopter","No","Business","IMC","CRUISE",1,"1",2,2
"Destroyed","Airplane","No","Instructional","VMC","TAKEOFF",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,2
"Destroyed","Airplane","No","Instructional","VMC","APPROACH",0,"1",3,3
"Substantial","Airplane","No","Business","VMC","TAKEOFF",0,"2+",0,1
"Destroyed","Airplane","No","Personal","VMC","CLIMB",1,"1",2,2
"Destroyed","Airplane","No","Personal","VMC","CRUISE",0,"1",0,2
"Substantial","Helicopter","No","Business","VMC","MANEUVERING",0,"1",1,3
"Destroyed","Airplane","No","Personal","VMC","LANDING",0,"1",3,3
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,4
"Substantial","Airplane","No","Instructional","VMC","MANEUVERING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","TAXI",0,"1",0,1
"Minor","Airplane","No","Personal","VMC","LANDING",0,"2+",0,4
"Destroyed","Airplane","No","Business","IMC","CRUISE",0,"1",1,1
"Substantial","Airplane","No","Personal","IMC","APPROACH",0,"2+",0,3
"Destroyed","Airplane","No","Business","VMC","TAKEOFF",0,"1",1,1
"Substantial","Airplane","No","Ferry","IMC","GO-AROUND",0,"2+",0,1
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",0,"1",0,2
"Substantial","Airplane","No","Personal","VMC","APPROACH",0,"1",1,3
"Substantial","Airplane","No","Personal","VMC","TAKEOFF",1,"1",1,1
"Substantial","Airplane","No","Business","VMC","TAKEOFF",0,"2+",0,3
"Destroyed","Airplane","No","Personal","VMC","TAKEOFF",1,"1",1,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"2+",0,5
"Substantial","Airplane","No","Ferry","VMC","TAKEOFF",0,"1",0,1
"Destroyed","Airplane","No","Personal","IMC","APPROACH",1,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","STANDING",0,"1",0,1
"Substantial","Airplane","No","Personal","VMC","LANDING",0,"1",0,2
"Destroyed","Airplane","No","Personal","IMC","APPROACH",1,"1",3,3
"Substantial","Airplane","No","Business","VMC","LANDING",0,"1",1,1
"Destroyed","Airplane","No","Personal","VMC","CLIMB",1,"1",2,2
"Destroyed","Airplane","No","Business","IMC","MANEUVERING",1,"1",2,2
"Destroyed","Airplane","No","Business","IMC","CRUISE",1,"2+",2,2
"Substantial","Airplane","No","Personal","VMC","GO-AROUND",0,"1",0,1
"Destroyed","Airplane","No","Personal","VMC","CRUISE",1,"1",3,3
"Destroyed","Airplane","No","Personal","VMC","CRUISE",1,"1",3,3
"Destroyed","Airplane","No","Personal","IMC","CRUISE",1,"1",2,2
"Destroyed","Airplane","No","Personal","IMC","CRUISE",1,"1",2,2
"Substantial","Airplane","No","Personal","VMC","CRUISE",0,"1",2,4
"Substantial","Airplane","No","Personal","IMC","CRUISE",0,"1",1,1
"Destroyed","Airplane","No","Personal","IMC","TAKEOFF",1,"1",3,3
"Substantial","Airplane","No","Ferry","VMC","CRUISE",0,"1",0,2
